,,,,,เชียงราย,เชียงราย,เชียงราย,,,,,,,,,,,,,,,,,,,,,,,,,,
,เชียงใหม่,เชียงใหม่,เชียงใหม่,,เชียงราย,เชียงราย,เชียงราย,,,,,,,,,,,,,,,,,,,,,,,,,,
,เชียงใหม่,เชียงใหม่,เชียงใหม่,,เชียงราย,เชียงราย,เชียงราย,,,,,,,,,,,,,,,,,,,,,,,,,,
,เชียงใหม่,เชียงใหม่,เชียงใหม่,,,,,,พะเยา,พะเยา,,,,,,,,,,,,,,,,,,,,,,,
,เชียงใหม่,เชียงใหม่,เชียงใหม่,,ลำปาง,ลำปาง,ลำปาง,,พะเยา,พะเยา,,น่าน,,,,,,,,,,,,,,,,,,,,,
,,,,,ลำปาง,ลำปาง,,,,,,น่าน,,,,,,,,,,,,,,,,,,,,,
แม่ฮ่องสอน,,ลำพูน,ลำพูน,,,,,,แพร่,แพร่,,น่าน,,,,,,,,,,,บึงกาฬ,บึงกาฬ,บึงกาฬ,,,,,,,,
แม่ฮ่องสอน,,ลำพูน,,,,สุโขทัย,สุโขทัย,,แพร่,,,น่าน,,,,,,หนองคาย,หนองคาย,หนองคาย,หนองคาย,,,,,,,,,,,,
,,,,,,สุโขทัย,สุโขทัย,,,,,,,เลย,,หนองบัวลำภู,,,,,,,สกลนคร,สกลนคร,สกลนคร,,นครพนม,,,,,,
,,กำแพงเพชร,กำแพงเพชร,กำแพงเพชร,,,,,,อุตรดิตถ์,อุตรดิตถ์,อุตรดิตถ์,,เลย,,หนองบัวลำภู,,อุดรธานี,อุดรธานี,อุดรธานี,อุดรธานี,,สกลนคร,สกลนคร,สกลนคร,,นครพนม,,,,,,
,,กำแพงเพชร,กำแพงเพชร,,,พิจิตร,พิจิตร,,,,,,,เลย,,หนองบัวลำภู,,อุดรธานี,อุดรธานี,อุดรธานี,อุดรธานี,,สกลนคร,สกลนคร,,,นครพนม,,มุกดาหาร,,,,
,,,,,,พิจิตร,พิจิตร,,พิษณุโลก,พิษณุโลก,พิษณุโลก,พิษณุโลก,,เลย,,หนองบัวลำภู,,อุดรธานี,อุดรธานี,,,,,,,,นครพนม,,มุกดาหาร,,,,
,,,อุทัยธานี,อุทัยธานี,,,,,พิษณุโลก,พิษณุโลก,พิษณุโลก,,,,,,,,,,,กาฬสินธุ์,กาฬสินธุ์,กาฬสินธุ์,กาฬสินธุ์,,นครพนม,,มุกดาหาร,,,,
,ตาก,,อุทัยธานี,,,นครสวรรค์,นครสวรรค์,,,,,,,ชัยภูมิ,ชัยภูมิ,,ขอนแก่น,ขอนแก่น,ขอนแก่น,ขอนแก่น,,กาฬสินธุ์,กาฬสินธุ์,กาฬสินธุ์,,,,,,,ยโสธร,,
,ตาก,,,,,นครสวรรค์,นครสวรรค์,,เพชรบูรณ์,เพชรบูรณ์,เพชรบูรณ์,เพชรบูรณ์,,ชัยภูมิ,ชัยภูมิ,,ขอนแก่น,ขอนแก่น,ขอนแก่น,ขอนแก่น,,,,,,,ร้อยเอ็ด,ร้อยเอ็ด,ร้อยเอ็ด,,ยโสธร,,อำนาจเจริญ
,ตาก,,ชัยนาท,ชัยนาท,,นครสวรรค์,นครสวรรค์,,เพชรบูรณ์,เพชรบูรณ์,เพชรบูรณ์,,,ชัยภูมิ,ชัยภูมิ,,ขอนแก่น,ขอนแก่น,ขอนแก่น,ขอนแก่น,,มหาสารคาม,มหาสารคาม,มหาสารคาม,มหาสารคาม,,ร้อยเอ็ด,ร้อยเอ็ด,ร้อยเอ็ด,,ยโสธร,,อำนาจเจริญ
,ตาก,,ชัยนาท,,,นครสวรรค์,นครสวรรค์,,,,,,,ชัยภูมิ,ชัยภูมิ,,ขอนแก่น,,,,,มหาสารคาม,มหาสารคาม,มหาสารคาม,,,ร้อยเอ็ด,ร้อยเอ็ด,ร้อยเอ็ด,,ยโสธร,,อำนาจเจริญ
,,,,,,,,,ลพบุรี,ลพบุรี,,สระบุรี,,,,,,,,,,,,,,,,,,,,,
,กาญจนบุรี,กาญจนบุรี,,สุพรรณบุรี,สุพรรณบุรี,,สิงห์บุรี,,ลพบุรี,ลพบุรี,,สระบุรี,,นครราชสีมา,นครราชสีมา,นครราชสีมา,นครราชสีมา,,บุรีรัมย์,บุรีรัมย์,บุรีรัมย์,,สุรินทร์,สุรินทร์,,ศรีสะเกษ,ศรีสะเกษ,ศรีสะเกษ,,อุบลราชธานี,อุบลราชธานี,อุบลราชธานี,
